Round,TestAcc,AvgLoss,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,RoundTimeSec,ClientTrainTimesSec
14,32.33,2.3537822278930416,61.981,0.1535,1.1704,63.3058,"4.3828,7.8700,7.1666,5.0696,5.5640,5.6964,4.4215,6.6039,6.7044,8.5017"
15,29.65,2.3195631278623567,65.1365,0.1633,1.1897,66.4906,"5.8832,5.9714,5.4882,6.8851,6.4875,4.8084,8.7369,7.8869,4.5426,8.4464"
16,35.63,2.287565976895794,64.8731,0.1609,1.1396,66.1746,"8.5940,5.5157,6.3963,6.7314,5.7858,7.9833,8.5872,4.4706,6.0722,4.7365"
17,34.87,2.2505246728182606,63.2612,0.1542,1.0729,64.4891,"8.3707,5.8114,6.7534,6.7240,8.0307,5.6336,5.5916,4.4815,4.1481,7.7161"
18,37.02,2.22337298917122,59.9944,0.1581,1.0887,61.2422,"5.0701,6.2925,7.1628,4.3898,4.0822,5.4807,8.1253,5.9857,5.5421,7.8633"
19,39.21,2.193911353110977,60.0509,0.1586,1.101,61.3115,"6.2133,5.6032,7.8052,5.0958,4.1615,7.4338,5.5659,4.3514,7.8555,5.9655"
20,38.2,2.1695331278102565,60.0205,0.1568,1.0455,61.2236,"5.5497,4.4322,5.0098,4.1238,5.3973,7.9904,6.0820,7.2888,7.9221,6.2245"
21,36.49,2.144343604747144,59.5666,0.1569,1.0867,60.8111,"5.0399,4.4142,5.4901,7.9128,6.3087,7.1687,5.4482,5.8881,7.7613,4.1344"
22,39.0,2.1223817478732,59.5797,0.1569,1.0966,60.8341,"5.2844,4.0948,5.1650,7.9468,7.2016,4.2775,5.4603,7.9490,5.9944,6.2058"
23,39.81,2.100795067564188,59.8509,0.1552,1.1187,61.1258,"7.3978,5.5125,7.8466,7.7630,4.1654,6.1502,6.0162,5.0996,4.3771,5.5225"
24,38.91,2.076505244870091,59.9308,0.1719,1.0733,61.1768,"7.9768,8.0291,5.3975,4.0355,4.4141,5.0325,7.1548,6.2125,6.0811,5.5969"
25,42.45,2.0611890130649413,59.7531,0.1661,1.0996,61.0199,"4.1875,7.7668,7.9337,5.9487,7.2379,5.0306,6.1502,4.4452,5.5393,5.5133"
26,43.66,2.0426896371962244,60.1806,0.1728,1.1162,61.4706,"6.1389,7.7943,4.1230,5.4025,5.0524,7.2631,4.4128,6.1246,5.5957,8.2733"
27,45.14,2.025855276640134,60.0031,0.16,1.0894,61.2534,"5.3958,5.0191,7.8404,5.5293,4.1324,4.4262,6.1789,6.1009,7.9349,7.4452"
28,43.87,2.0098544374797824,60.2704,0.1711,1.0982,61.5408,"7.7133,4.2176,5.4855,6.2038,4.4874,7.3614,5.0251,6.0824,8.2063,5.4875"
29,46.55,1.9885259478364143,59.9673,0.1637,1.06,61.192,"7.9687,5.3828,5.2181,4.0591,7.7024,6.2671,5.4210,6.0292,4.4846,7.4343"
30,45.37,1.975728966854465,59.8408,0.1723,1.1138,61.1278,"7.2990,5.0104,4.1039,7.9117,5.4168,6.1178,7.8057,5.4629,6.1973,4.5153"
31,46.51,1.9668080819037776,60.6446,0.1678,1.1653,61.9787,"7.9083,7.9201,4.1186,4.9658,7.3126,6.2864,5.9755,4.4428,5.8863,5.8280"
